,City,Cloudiness (%),Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
79,Port Hedland,77,AU,1583987423,63,-20.32,118.57,307.15,6.2
80,Nikolskoye,90,RU,1583987425,86,59.7,30.79,276.15,4.0
81,Saint George,1,US,1583987326,76,37.1,-113.58,288.15,2.6
82,Bredasdorp,92,ZA,1583987143,82,-34.53,20.04,293.15,5.7
83,Huarmey,30,PE,1583987428,76,-10.07,-78.15,294.44,0.68
84,East London,75,ZA,1583987429,88,-33.02,27.91,294.15,3.1
85,Krasnosel'kup,38,RU,1583987430,83,65.7,82.47,258.95,1.94
86,New Norfolk,69,AU,1583987431,53,-42.78,147.06,296.48,3.1
87,Barrow,40,US,1583987432,96,71.29,-156.79,237.15,4.6
88,Blythe,75,US,1583987433,82,33.61,-114.6,292.15,2.1
89,Port Elizabeth,75,ZA,1583987434,94,-33.92,25.57,293.15,7.7
90,Sakakah,75,SA,1583986999,16,29.97,40.21,293.15,2.1
91,Soyo,86,AO,1583987437,88,-6.13,12.37,299.23,1.62
92,Itarema,85,BR,1583987438,96,-2.92,-39.92,296.08,1.21
93,Marang,40,MY,1583987439,74,5.21,103.21,303.71,2.6
94,Hayrabolu,1,TR,1583987441,93,41.21,27.11,279.82,1.67
95,General Roca,0,AR,1583987442,49,-39.03,-67.58,293.15,1.0
96,Upernavik,99,GL,1583987443,93,72.79,-56.15,243.72,2.15
97,Ilulissat,15,GL,1583987444,65,69.22,-51.1,257.15,0.5
98,Saint-Philippe,39,RE,1583987445,94,-21.36,55.77,301.15,7.7
99,Qaanaaq,0,GL,1583987448,44,77.48,-69.36,243.57,2.99
100,Newport,75,GB,1583987384,65,51.59,-3.0,279.26,7.7
101,Corinth,0,GR,1583987188,66,37.94,22.96,284.26,1.5
102,Hobart,39,AU,1583987451,53,-42.88,147.33,296.48,3.1
103,Nome,90,US,1583987452,85,64.5,-165.41,261.48,6.7
104,Arrondissement du Havre,75,FR,1583987453,87,49.58,0.33,283.15,8.7
105,Caravelas,100,BR,1583986949,80,-17.71,-39.25,299.54,3.08
106,Maswa,88,TZ,1583987455,81,-2.68,33.98,294.91,1.95
107,Bitkine,47,TD,1583987456,13,11.98,18.21,294.57,3.97
108,Bluff,37,NZ,1583987458,74,-46.6,168.33,288.15,4.47
109,Ostrovnoy,77,RU,1583987459,94,68.05,39.51,268.43,5.05
110,Busselton,91,AU,1583987461,26,-33.65,115.33,302.59,7.18
111,Mahébourg,75,MU,1583987463,94,-20.41,57.7,301.48,4.32
112,Puerto Ayora,2,EC,1583987464,100,-0.74,-90.35,298.71,0.45
113,Soc Trang,40,VN,1583987465,62,9.6,105.98,305.15,5.1
114,Ambon City,20,ID,1583987466,66,-3.7,128.18,306.15,2.6
115,Batemans Bay,0,AU,1583986906,69,-35.72,150.18,296.48,6.26
116,Molina,90,CL,1583987468,43,-35.12,-71.28,296.15,0.5
117,Ancud,100,CL,1583987470,93,-41.87,-73.82,285.15,1.5
118,Xuzhou,100,CN,1583987471,42,34.18,117.16,291.8,2.71
119,Jerez,0,GT,1583987472,81,14.1,-89.75,291.79,1.88
120,Opuwo,45,NA,1583987473,43,-18.06,13.84,294.88,1.04
121,Bengkulu,25,ID,1583987474,73,-3.8,102.27,303.13,4.24
122,Lompoc,40,US,1583987475,93,34.64,-120.46,287.15,2.92
123,Coquimbo,75,CL,1583987476,88,-29.95,-71.34,290.15,3.1
124,Emerald,40,AU,1583987309,51,-23.53,148.17,302.59,5.7
125,Vardø,75,NO,1583987479,86,70.37,31.11,272.15,7.7
126,Anadyr,90,RU,1583987242,85,64.75,177.48,261.15,20.0
127,Avarua,1,CK,1583987481,94,-21.21,-159.78,299.15,4.6
128,Ponta do Sol,20,PT,1583986931,76,32.67,-17.1,288.15,5.1
129,Yurga,100,RU,1583987483,93,55.72,84.89,268.56,6.08
130,Tuktoyaktuk,40,CA,1583987484,73,69.45,-133.04,238.15,3.6
131,Hambantota,20,LK,1583987486,79,6.12,81.12,302.15,2.6
132,Iqaluit,5,CA,1583987487,68,63.75,-68.51,244.26,3.1
133,Kavaratti,24,IN,1583987488,67,10.57,72.64,301.49,3.43
134,Sibu,75,MY,1583987489,88,2.3,111.82,302.04,2.6
135,Ixtapa,75,MX,1583987491,88,20.7,-105.2,296.15,0.51
136,Tabanan,20,ID,1583987461,84,-8.54,115.13,304.15,2.1
137,Ban Tak,0,TH,1583987493,54,17.04,99.08,306.48,0.5
138,Buala,100,SB,1583987494,91,-8.14,159.59,299.08,6.36
139,São João da Barra,11,BR,1583987497,89,-21.64,-41.05,294.3,4.56
140,Tobol'sk,100,RU,1583987498,99,58.2,68.27,276.31,5.63
141,Ribeira Grande,77,PT,1583987499,86,38.52,-28.7,285.74,4.81
142,Houma,1,US,1583987500,93,29.6,-90.72,292.15,1.5
143,Saint Paul Harbor,1,US,1583987501,42,57.79,-152.41,271.15,5.1
144,Ascension,1,US,1583987502,88,30.22,-90.9,292.15,2.61
145,Abalak,100,RU,1583987503,99,58.13,68.59,276.31,5.63
146,Mossamedes,51,AO,1583987504,85,-15.2,12.15,297.45,2.74
147,Aykhal,90,RU,1583987505,77,66.0,111.5,257.15,5.0
148,Kruisfontein,85,ZA,1583987507,86,-34.0,24.73,293.06,4.68
149,Berlevåg,75,NO,1583987508,86,70.86,29.09,270.15,5.7
150,Giruá,51,BR,1583987509,80,-28.03,-54.35,292.59,2.16
151,Bandarbeyla,1,SO,1583987510,76,9.49,50.81,298.97,7.56
152,Buzovna,90,AZ,1583987511,100,40.52,50.11,280.15,4.1
153,Longyearbyen,75,SJ,1583987512,68,78.22,15.64,245.15,2.1
154,Yabēlo,99,ET,1583987513,54,4.88,38.08,296.14,5.62
155,Alofi,70,NU,1583987514,83,-19.06,-169.92,301.15,2.6
156,Praxédis Guerrero,1,MX,1583987515,55,31.37,-106.02,293.15,2.92
157,Cabo San Lucas,75,MX,1583987412,41,22.89,-109.91,299.15,3.1
158,Kikwit,100,CD,1583987518,93,-5.04,18.82,295.59,0.74
159,Husavik,90,IS,1583987519,92,66.04,-17.34,269.15,11.8
160,Brae,83,GB,1583987520,86,60.4,-1.35,278.15,6.2
161,Christchurch,0,NZ,1583987463,52,-43.53,172.63,294.26,5.7
162,Cranbrook,20,CA,1583987401,47,49.5,-115.77,274.15,2.6
163,Ishigaki,75,JP,1583987523,77,24.34,124.16,294.15,5.7
164,Lüderitz,0,NA,1583987524,87,-26.65,15.16,289.15,1.5
165,Chiredzi,33,ZW,1583987526,80,-21.05,31.67,297.73,3.33
166,Anamur,75,TR,1583987528,71,36.08,32.84,286.15,2.6
167,Bathurst,19,AU,1583987529,45,-33.42,149.58,298.15,0.45
168,Aljezur,49,PT,1583987530,99,37.32,-8.8,288.15,0.89
169,Kokopo,100,PG,1583987532,72,-4.35,152.26,301.23,7.47
170,Torbay,90,CA,1583987535,92,47.67,-52.73,272.15,7.7
171,Nadym,100,RU,1583987537,95,65.53,72.52,267.86,7.83
172,Būlaevo,100,KZ,1583987538,99,54.91,70.44,273.83,5.76
173,Half Moon Bay,90,US,1583987539,93,37.46,-122.43,288.71,2.6
174,Aklavik,40,CA,1583987540,68,68.22,-135.01,245.15,1.0
175,Semīrom,0,IR,1583987543,18,31.42,51.57,281.79,1.17
176,Kiryat Gat,75,IL,1583987544,77,31.61,34.76,292.04,3.6
177,Pangnirtung,6,CA,1583987546,85,66.15,-65.71,242.45,0.82
178,Meulaboh,56,ID,1583987547,78,4.14,96.13,301.73,4.19
179,Atar,0,MR,1583987548,9,20.52,-13.05,291.45,3.06
180,Nanortalik,14,GL,1583987549,69,60.14,-45.24,269.24,0.93
181,Roebourne,93,AU,1583987550,41,-20.78,117.13,306.67,9.68
182,Béboto,100,TD,1583987551,14,8.27,16.94,296.44,0.86
183,Xichang,0,CN,1583987552,42,27.9,102.26,285.85,4.54
184,Gizo Government Station,100,SB,1583987554,92,-8.1,156.84,298.1,6.24
185,Bambous Virieux,75,MU,1583987555,94,-20.34,57.76,301.48,4.03
186,Hualmay,100,PE,1583986993,69,-11.1,-77.61,295.88,1.49
187,Beringovskiy,100,RU,1583987557,94,63.05,179.32,273.05,13.44
188,Port Blair,20,IN,1583987558,66,11.67,92.75,299.56,2.05
189,Gemeente Geldermalsen,90,NL,1583987559,76,51.87,5.28,284.26,9.3
190,Terrasini,0,IT,1583987561,93,38.15,13.08,284.82,0.87
191,Fairbanks,75,US,1583987562,69,64.84,-147.72,254.26,0.62
192,Miyako,0,JP,1583987565,46,39.64,141.95,280.92,4.74
193,Guantánamo,20,CU,1583987566,88,20.14,-75.21,295.15,4.1
194,Amapá,88,BR,1583987567,95,1.0,-52.0,293.94,0.74
195,Narsaq,0,GL,1583987568,48,60.92,-46.05,266.15,1.0
196,Ternate,99,ID,1583987569,80,0.8,127.4,301.34,1.03
197,Dakoro,56,NE,1583987570,12,14.51,6.76,292.39,8.35
198,Borovoy,90,RU,1583987571,67,55.43,86.08,268.15,5.0
199,Port Hardy,75,CA,1583987490,93,50.7,-127.42,275.15,2.1
200,Tiksi,0,RU,1583987573,74,71.69,128.87,249.52,4.16
201,Shetpe,100,KZ,1583987575,60,44.17,52.12,283.33,3.26
202,Aasiaat,70,GL,1583987576,96,68.71,-52.87,250.93,2.41
203,Ahipara,1,NZ,1583987577,91,-35.17,173.17,295.37,4.01
204,Sinnamary,0,GF,1583987578,72,5.38,-52.95,299.1,6.4
205,Santa Rosa,20,PH,1583987454,49,14.31,121.11,307.04,5.1
206,Bogalusa,1,US,1583987580,93,30.79,-89.85,292.15,2.1
207,Cap Malheureux,75,MU,1583987463,94,-19.98,57.61,301.48,6.29
208,Erenhot,18,CN,1583987582,25,43.65,111.98,270.64,4.46
209,Boyolangu,71,ID,1583987584,70,-8.12,111.89,303.75,5.84
210,Guerrero Negro,100,MX,1583987585,87,27.98,-114.06,293.84,8.98
211,Palencia,100,ES,1583987586,73,42.42,-4.5,284.26,2.15
212,Madiun,87,ID,1583987587,71,-7.63,111.52,304.0,3.41
213,Sirte,12,LY,1583987588,74,31.21,16.59,286.06,5.26
214,Vostok,100,RU,1583987589,85,46.49,135.88,270.67,4.28
215,Becerril,98,CO,1583987590,75,9.7,-73.28,298.35,1.12
216,Grand Gaube,75,MU,1583987591,94,-20.01,57.66,301.48,6.29
217,Sørland,75,NO,1583987592,91,67.67,12.69,273.15,10.3
218,Rocha,99,UY,1583987595,95,-34.48,-54.33,293.44,4.69
219,Poso,72,ID,1583987596,83,-1.4,120.75,297.08,1.52
220,Manzhouli,0,CN,1583987597,61,49.6,117.43,258.86,8.97
221,Vestmannaeyjar,96,IS,1583987598,64,63.44,-20.27,273.85,7.87
222,Okhotsk,100,RU,1583987599,61,59.38,143.3,264.87,8.98
223,Alice Springs,28,AU,1583987366,18,-23.7,133.88,309.15,3.1
224,Boende,100,CD,1583987601,98,-0.22,20.87,296.13,0.37
225,La Rioja,53,AR,1583987603,59,-29.41,-66.85,296.15,0.69
226,Samfya,100,ZM,1583987604,91,-11.36,29.56,292.69,1.99
227,Hastings,44,GB,1583987605,75,50.86,0.57,281.15,9.3
228,Bairiki Village,75,KI,1583987492,88,1.33,172.98,300.15,0.5
229,Tigre,57,AR,1583987608,100,-34.43,-58.58,294.15,1.5
230,Tura,0,IN,1583987609,24,25.52,90.22,306.48,1.8
231,Camacha,75,PT,1583987611,77,33.08,-16.33,289.15,3.1
232,Provideniya,100,RU,1583987612,92,64.38,-173.3,261.15,4.0
233,Hay River,75,CA,1583987613,60,60.82,-115.8,258.15,2.6
234,Ust-Nera,100,RU,1583987524,91,64.57,143.2,249.74,1.05
235,Kenai,1,US,1583987615,47,60.55,-151.26,264.15,1.5
236,Labuhan,100,ID,1583987617,67,-6.88,112.21,303.81,4.03
237,Illela,97,NG,1583987618,14,13.73,5.3,294.66,10.11
238,Aloleng,4,PH,1583987619,47,16.13,119.78,306.32,5.2
239,Tazovsky,9,RU,1583987620,88,67.47,78.7,252.46,2.3
240,Andros,0,GR,1583987621,71,37.83,24.93,286.48,7.2
241,Lakhīmpur,4,IN,1583987622,36,27.95,80.77,301.85,3.86
242,Hasaki,75,JP,1583987623,32,35.73,140.83,288.71,1.5
243,Polyarnyye Zori,100,RU,1583987624,96,67.37,32.5,267.25,1.31
244,Wamba,86,NG,1583987625,73,8.93,8.6,297.91,0.84
245,Donegal,57,IE,1583987626,88,54.65,-8.12,275.75,8.27
246,Oudtshoorn,90,ZA,1583987629,100,-33.59,22.2,289.15,2.1
247,Karratha,100,AU,1583987630,78,-20.74,116.85,303.06,8.68
248,Minusinsk,84,RU,1583987631,54,53.71,91.69,271.15,4.0
249,Develi,75,TR,1583987632,49,38.39,35.49,280.15,3.1
250,Aden,33,YE,1583987412,56,12.78,45.04,299.69,9.07
251,Broome,90,US,1583987634,55,42.25,-75.83,276.48,1.36
252,Portsmouth,97,GB,1583987375,74,50.8,-1.09,279.82,8.7
253,Olafsvik,94,IS,1583987636,78,64.89,-23.71,270.13,10.22
254,Kuvshinovo,97,RU,1583987637,95,57.03,34.17,274.84,5.2
255,Harlingen,90,US,1583987639,83,26.19,-97.7,296.15,7.2
256,Vengerovo,100,RU,1583987640,100,55.68,76.75,273.95,5.03
257,Zeya,100,RU,1583987641,79,53.75,127.27,261.71,4.48
258,Bouca,100,CF,1583987642,24,6.51,18.27,295.58,1.08
259,Carbonia,0,IT,1583987643,100,39.17,8.52,284.26,3.1
260,Yenagoa,100,NG,1583987644,94,4.92,6.26,298.91,0.58
261,Sobolevo,85,RU,1583987645,77,54.43,31.9,276.42,8.03
262,Dingle,40,PH,1583987646,57,11.0,122.67,302.95,6.03
263,Aldan,100,RU,1583987647,82,58.6,125.39,249.46,2.88
264,Gamba,94,GA,1583987648,93,-2.65,10.0,297.7,0.99
265,Dondo,40,MZ,1583987650,94,-19.61,34.74,298.15,1.5
266,Arlit,34,NE,1583987651,17,18.74,7.39,288.59,7.56
267,Kumul,67,CN,1583987652,31,42.8,93.45,277.04,4.89
268,Port-Gentil,100,GA,1583987653,82,-0.72,8.78,300.41,3.9
269,Magadan,100,RU,1583987654,91,59.57,150.8,261.03,9.54
270,Inírida,59,CO,1583987655,72,3.87,-67.92,299.54,1.11
271,Araouane,67,ML,1583987656,18,18.9,-3.53,291.69,4.28
272,Khatanga,100,RU,1583987658,88,71.97,102.5,258.7,12.48
273,Baishishan,100,CN,1583987659,55,43.58,127.57,272.36,6.21
274,Richards Bay,53,ZA,1583987660,80,-28.78,32.04,297.93,9.34
275,Henties Bay,0,NA,1583987661,96,-22.12,14.28,288.71,0.89
276,Chui,100,UY,1583987662,90,-33.7,-53.46,294.91,2.72
277,Erzin,75,TR,1583987664,67,36.96,36.2,290.93,1.0
278,Kang,62,BW,1583987665,38,-23.68,22.79,297.38,4.76
279,Kavieng,75,PG,1583987666,73,-2.57,150.8,302.29,4.35
280,Utraula,0,IN,1583987667,34,27.32,82.42,302.78,3.16
281,Kaitangata,49,NZ,1583987669,79,-46.28,169.85,285.82,7.5
282,Hwange,81,ZW,1583987670,76,-18.37,26.5,296.39,1.13
283,The Pas,90,CA,1583987671,92,53.83,-101.25,269.15,3.1
284,Conde,40,BR,1583987673,94,-7.26,-34.91,299.15,0.5
285,Makakilo City,90,US,1583987674,78,21.35,-158.09,299.15,4.1
286,Killarney,65,IE,1583987675,77,52.05,-9.52,276.18,7.81
287,Deputatsky,0,RU,1583987676,89,69.3,139.9,243.47,0.77
288,St. George's,20,GD,1583987677,74,12.06,-61.75,299.15,5.1
289,The Valley,40,AI,1583987680,73,18.22,-63.06,298.15,5.1
290,Fort Nelson,90,CA,1583987681,71,58.81,-122.7,260.15,5.1
291,Saint-Joseph,79,RE,1583987682,94,-21.37,55.62,301.15,7.7
292,Bilibino,100,RU,1583987683,95,68.05,166.44,256.11,2.93
293,Vanimo,100,PG,1583987684,77,-2.67,141.3,301.45,5.22
294,Wagga Wagga,60,AU,1583987685,36,-35.12,147.37,299.26,5.1
295,Esperance,100,AU,1583987686,68,-33.87,121.9,295.15,5.7
296,Seoul,40,KR,1583987426,32,37.57,126.98,285.15,1.5
297,Gravdal,75,NO,1583987688,87,68.12,13.5,273.15,10.3
298,San Jose,1,US,1583987556,62,37.34,-121.89,288.71,2.6
299,Hong Kong,40,HK,1583987694,69,22.29,114.16,299.82,5.1
300,Kuching,40,MY,1583987395,79,1.55,110.33,304.15,2.1
301,Taoudenni,3,ML,1583987696,18,22.68,-3.98,287.62,2.49
302,Gao,81,ML,1583987697,11,16.64,1.64,294.06,9.68
303,Marabu,75,MY,1583987433,84,4.41,114.01,303.71,2.1
304,Jamame,98,SO,1583987699,78,0.07,42.75,300.94,9.28
305,Pisco,96,PE,1583987701,78,-13.7,-76.22,297.15,1.5
306,Te Anau,14,NZ,1583987703,73,-45.42,167.72,286.32,1.82
307,Millinocket,90,US,1583987493,49,45.66,-68.71,272.04,5.1
308,Chicama,40,PE,1583987706,78,-7.84,-79.15,297.15,3.1
309,Muravlenko,100,RU,1583987707,99,63.79,74.52,273.24,5.13
310,Haines Junction,47,CA,1583987708,88,60.75,-137.51,250.11,2.17
311,Dalbandin,0,PK,1583987709,26,28.89,64.41,285.45,0.76
312,Mar del Plata,83,AR,1583987710,88,-38.0,-57.56,293.15,4.1
313,Norman Wells,75,CA,1583987711,76,65.28,-126.83,251.15,6.7
314,La Ronge,90,CA,1583987712,79,55.1,-105.28,267.15,6.7
315,Burgeo,41,CA,1583987448,73,47.62,-57.62,268.17,4.55
316,São Filipe,0,CV,1583987715,64,14.9,-24.5,296.28,2.81
317,Wagar,17,SD,1583987716,43,16.15,36.2,302.59,5.24
318,Orocué,99,CO,1583987718,45,4.79,-71.34,301.02,1.06
319,Hofn,100,IS,1583987719,64,64.25,-15.21,274.68,15.0
320,Gerāsh,11,IR,1583987720,43,27.67,54.14,284.15,0.63
321,Ayan,0,RU,1583987523,68,56.45,138.17,259.25,5.36
322,San Juan,7,AR,1583987722,55,-31.54,-68.54,299.66,5.37
323,Juneau,90,US,1583987703,79,58.3,-134.42,270.15,1.5
324,Flinders,40,AU,1583987724,53,-34.58,150.86,298.15,6.7
325,Dharmavaram,1,IN,1583987726,31,14.43,77.72,304.99,2.31
326,Nara,0,JP,1583987727,30,34.69,135.8,287.04,2.1
327,Mezhova,80,UA,1583987728,73,48.25,36.73,282.25,8.57
328,Morón,57,AR,1583987644,100,-34.65,-58.62,294.15,1.0
329,Skjervøy,100,NO,1583987730,78,70.03,20.97,269.93,2.22
330,Pevek,100,RU,1583987731,95,69.7,170.31,257.07,2.94
331,Birao,18,CF,1583987732,10,10.28,22.79,298.87,1.75
332,Javānrūd,3,IR,1583987733,29,34.8,46.52,283.51,0.97
333,Laas,39,IT,1583987734,59,46.62,10.7,277.59,1.5
334,Rey Bouba,83,CM,1583987735,12,8.67,14.18,297.33,1.19
335,Saýat,0,TM,1583987737,42,38.78,63.88,282.15,0.66
336,Havøysund,75,NO,1583987738,92,71.0,24.66,269.15,1.5
337,Belém,75,BR,1583987739,94,-1.46,-48.5,298.15,2.6
338,Santiago de Cao,40,PE,1583987740,78,-7.96,-79.24,297.15,3.1
339,Howard Springs,20,AU,1583987741,62,-12.5,131.05,306.48,5.1
340,Olhão,75,PT,1583987742,93,37.03,-7.84,288.15,1.5
341,Saint-Augustin,98,CA,1583987743,96,51.23,-58.65,261.24,1.23
342,Vila Velha,90,BR,1583987744,88,-20.33,-40.29,297.15,2.47
343,Lagoa,41,PT,1583987745,73,39.05,-27.98,287.44,4.73
344,Acapulco de Juárez,5,MX,1583987746,83,16.86,-99.89,300.15,2.6
345,Rozsypne,100,UA,1583987747,81,48.15,38.58,281.6,4.69
346,Nioro,0,GM,1583987749,15,13.35,-15.75,295.17,1.77
347,Kroya,22,ID,1583987750,56,-7.63,109.25,306.33,3.38
348,Terråk,100,NO,1583987751,80,65.09,12.37,277.15,5.7
349,Kwekwe,44,ZW,1583987752,73,-18.93,29.81,294.82,2.63
350,Srīvardhan,0,IN,1583987754,52,18.03,73.02,299.55,4.84
351,Turukhansk,100,RU,1583987755,88,65.82,87.98,259.48,4.22
352,Camocim,100,BR,1583987756,97,-2.9,-40.84,295.64,1.53
353,Burnie,67,AU,1583987757,84,-41.07,145.92,293.71,3.58
354,Thurso,43,GB,1583987758,86,58.59,-3.53,275.15,9.8
355,Grindavik,100,IS,1583987759,68,63.84,-22.43,272.15,10.3
356,Riyadh,14,SA,1583987659,38,24.69,46.72,289.15,1.0
357,Srednekolymsk,100,RU,1583987762,93,67.45,153.68,247.53,7.68
358,Bendigo,69,AU,1583987763,29,-36.77,144.28,302.04,0.89
359,Sakaiminato,20,JP,1583987764,41,35.55,133.23,287.15,2.6
360,São Joaquim,28,BR,1583987765,98,-28.29,-49.93,286.87,1.12
361,Asău,10,RO,1583987766,93,46.43,26.4,277.59,0.5
362,Dickinson,90,US,1583987637,94,29.46,-95.05,294.26,3.6
363,Florø,100,NO,1583987768,86,61.6,5.03,276.15,10.8
364,Agüimes,18,ES,1583987769,42,27.91,-15.45,292.15,3.1
365,Makat,54,KZ,1583987771,29,47.65,53.35,284.42,5.59
366,Makkah al Mukarramah,0,SA,1583987635,46,21.43,39.83,300.21,1.84
367,Geraldton,0,AU,1583987773,57,-28.77,114.6,300.15,6.2
368,Kadoma,20,JP,1583987774,35,34.73,135.58,288.15,2.6
369,Tuatapere,38,NZ,1583987775,74,-46.13,167.68,288.15,4.47
370,Talcahuano,20,CL,1583987776,100,-36.72,-73.12,286.15,2.6
371,West Wendover,1,US,1583987777,56,40.74,-114.07,280.15,2.27
372,Likasi,100,CD,1583987778,90,-10.98,26.73,292.33,0.81
373,Syracuse,0,IT,1583987779,93,37.09,15.28,282.59,2.1
374,‘Āhuimanu,90,US,1583987782,65,21.44,-157.84,299.15,3.6
